FECHA_ACCIDENTE,AÑO_ACCIDENTE,MES_ACCIDENTE,DIA_ACCIDENTE,HORA_ACCIDENTE,GRAVEDAD_ACCIDENTE,CLASE_ACCIDENTE,SITIO_EXACTO_ACCIDENTE,CANT_HERIDOS_EN _SITIO_ACCIDENTE,CANT_MUERTOS_EN _SITIO_ACCIDENTE,CANTIDAD_ACCIDENTES,LATITUD,LONGITUD
01/07/2015 12:00:00 AM,2015,1,Mié,01:50:00:PM,Con heridos,Choque,CLLE 68B CRA 26B,1.0,0.0,1,10.975506800000002,-74.8083194
01/07/2015 12:00:00 AM,2015,1,Mié,03:00:00:PM,Solo daños,Choque,CLLE 90 CRA 2,0.0,0.0,1,10.9363371,-74.8241106
01/07/2015 12:00:00 AM,2015,1,Mié,05:15:00:PM,Solo daños,Choque,CALLE 74 58 26,0.0,0.0,1,11.0028915,-74.79935669999998
01/07/2015 12:00:00 AM,2015,1,Mié,06:10:00:AM,Con heridos,Choque,CRA 50 CLLE 45,2.0,0.0,1,10.9896371,-74.78394990000002
01/07/2015 12:00:00 AM,2015,1,Mié,06:20:00:PM,Solo daños,Choque,CRA 38 CLLE 70B,0.0,0.0,1,10.9847541,-74.809069
01/07/2015 12:00:00 AM,2015,1,Mié,06:50:00:PM,Solo daños,Choque,CRA 60 CLLE 79,0.0,0.0,1,11.0095477,-74.8053466
01/07/2015 12:00:00 AM,2015,1,Mié,06:59:00:AM,Solo daños,Choque,CALLE 84B CR 39A,0.0,0.0,1,10.9847485,-74.83360569999998
01/07/2015 12:00:00 AM,2015,1,Mié,07:30:00:AM,Solo daños,Choque,AVENIDA 110 CRA 15,0.0,0.0,1,11.004107199999998,-74.80698129999998
01/07/2015 12:00:00 AM,2015,1,Mié,08:10:00:AM,Solo daños,Choque,CR38 CL 43,0.0,0.0,1,10.9792115,-74.78514009999998
01/07/2015 12:00:00 AM,2015,1,Mié,09:10:00:AM,Solo daños,Choque,CLLE 17 CRA 8,0.0,0.0,1,10.948341,-74.77345809999998
01/07/2015 12:00:00 AM,2015,1,Mié,09:50:00:AM,Solo daños,Choque,cCLLE 70C CRA 25B,0.0,0.0,1,10.9745164,-74.810198
01/07/2015 12:00:00 AM,2015,1,Mié,10:30:00:AM,Solo daños,Choque,CALLE 47 CR 20,0.0,0.0,1,10.9321576,-74.8048226
01/07/2015 12:00:00 AM,2015,1,Mié,11:25:00:AM,Con heridos,Volcamiento,CR 50 CL 43,2.0,0.0,1,10.9893062,-74.7827099
01/07/2015 12:00:00 AM,2015,1,Mié,11:45:00:AM,Con heridos,Choque,CR 14 CL 63,2.0,0.0,1,10.9610069,-74.8078917
01/07/2015 12:00:00 AM,2015,1,Mié,12:10:00:PM,Solo daños,Choque,CLLE 30 CRA 10,0.0,0.0,1,10.9479443,-74.7850031
01/08/2015 12:00:00 AM,2015,1,Jue,01:30:00:PM,Solo daños,Choque,CLLE 47 CRA 32,0.0,0.0,1,10.974399,-74.78980980000001
01/08/2015 12:00:00 AM,2015,1,Jue,02:00:00:PM,Solo daños,Choque,CLLE 19 CRA 8,0.0,0.0,1,10.9480714,-74.7753546
01/08/2015 12:00:00 AM,2015,1,Jue,03:20:00:PM,Solo daños,Choque,CLLE 27 CRA 63B,0.0,0.0,1,10.9673665,-74.7853161
01/08/2015 12:00:00 AM,2015,1,Jue,03:40:00:PM,Solo daños,Choque,CL 98 CR 52C,0.0,0.0,1,11.0133121,-74.82695919999998
01/08/2015 12:00:00 AM,2015,1,Jue,05:00:00:PM,Con heridos,Choque,CR 44 CL 57,1.0,0.0,1,10.9869278,-74.79440550000002
01/08/2015 12:00:00 AM,2015,1,Jue,06:20:00:AM,Solo daños,Choque,CRA 22 CLLE 47B,0.0,0.0,1,10.965683,-74.7938705
01/08/2015 12:00:00 AM,2015,1,Jue,06:45:00:AM,Solo daños,Choque,CLLE 84 CRA 57,0.0,0.0,1,11.0093433,-74.8132658
01/08/2015 12:00:00 AM,2015,1,Jue,06:55:00:AM,Solo daños,Choque,CLLE 70C CRA 26D,0.0,0.0,1,10.9765078,-74.80978990000001
01/08/2015 12:00:00 AM,2015,1,Jue,07:00:00:PM,Solo daños,Choque,AVENIDA 110 VIA 40,0.0,0.0,1,11.0215868,-74.79971450000002
01/08/2015 12:00:00 AM,2015,1,Jue,07:20:00:PM,Solo daños,Choque,CLLE 72 CRA 41B,0.0,0.0,1,10.9900954,-74.8080641
